Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/Prod/predict/lgbm,2128,0,140,187.38702276832484,129.46216400018784,2465.2612639999916,45.0,11.805319394123838,0.0,140,150,160,160,330,340,360,2000,2400,2500,2500
POST,/Prod/predict/lgbm_arpa,2205,0,140,190.89986038729796,128.5303140000451,2535.1660300000276,167.0,12.232485556411214,0.0,140,150,160,160,330,340,360,2200,2500,2500,2500
POST,/Prod/predict/xgb_arpa,2139,0,140,180.7579729658693,129.4089329999224,5415.770649000024,166.0,11.866343131593464,0.0,140,150,160,160,250,340,360,370,2400,5400,5400
POST,/Prod/predict/xgb_baseline,2104,0,140,183.84245478374598,128.96453300004396,2518.352109000034,44.0,11.67217669419011,0.0,140,150,160,160,330,340,360,370,2400,2500,2500
,Aggregated,8576,0,140,185.7672114790097,128.5303140000451,5415.770649000024,106.30188899253731,47.57632477631863,0.0,140,150,160,160,330,340,360,390,2400,5400,5400
