Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/Prod/predict/lgbm,2149,0,140,175.15080358350923,127.99154599997564,2491.861685999538,45.0,11.92647991094763,0.0,140,140,140,150,320,340,350,360,2500,2500,2500
POST,/Prod/predict/lgbm_arpa,2241,0,140,168.14200045113893,127.7306870015309,5224.477507001211,167.0,12.437059786148739,0.0,140,140,140,150,330,340,360,490,840,5200,5200
POST,/Prod/predict/xgb_arpa,2080,0,140,176.83799161920453,128.2403240002168,5185.802650001278,166.0,11.543545004546798,0.0,140,140,140,150,330,340,350,390,2200,5200,5200
POST,/Prod/predict/xgb_baseline,2182,0,140,176.9872823258491,127.39153300026373,2829.695337000885,44.0,12.109622692269767,0.0,140,140,140,140,310,340,350,440,2300,2800,2800
,Aggregated,8652,0,140,174.20418082696634,127.39153300026373,5224.477507001211,105.4368932038835,48.01670739391294,0.0,140,140,140,150,330,340,350,440,2400,5200,5200
