@timestamp,@logStream,@duration,@initDuration,@maxMemoryUsed
2026-05-28 12:25:09.553,2026/05/28/[$LATEST]09b41d5fd2894f389e30ae58462b1250,2.54,645.73,85000000
2026-05-28 12:25:09.571,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,9.61,668.85,85000000
2026-05-28 12:25:10.297,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,25.03,717.18,85000000
2026-05-28 12:25:10.993,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,3.19,926.92,86000000
2026-05-28 12:25:11.052,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.76,,85000000
2026-05-28 12:25:11.078,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,11.08,,85000000
2026-05-28 12:25:11.088,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.96,,86000000
2026-05-28 12:25:11.279,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.9,,85000000
2026-05-28 12:25:11.757,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,28.08,,85000000
2026-05-28 12:25:11.856,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.48,,85000000
2026-05-28 12:25:12.075,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.85,,85000000
2026-05-28 12:25:12.392,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.8,,86000000
2026-05-28 12:25:12.678,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.94,,86000000
2026-05-28 12:25:12.706,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.95,,85000000
2026-05-28 12:25:13.392,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,17.1,,86000000
2026-05-28 12:25:13.531,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,15.23,,86000000
2026-05-28 12:25:13.602,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.11,,86000000
2026-05-28 12:25:13.674,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.21,,86000000
2026-05-28 12:25:13.758,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.26,,85000000
2026-05-28 12:25:13.797,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,23.84,,85000000
2026-05-28 12:25:14.019,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.94,,86000000
2026-05-28 12:25:14.809,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.72,,85000000
2026-05-28 12:25:14.862,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.01,,85000000
2026-05-28 12:25:14.870,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,9.61,,86000000
2026-05-28 12:25:15.093,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.11,,86000000
2026-05-28 12:25:15.137,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,26.58,,85000000
2026-05-28 12:25:15.237,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.46,,86000000
2026-05-28 12:25:15.459,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.98,,85000000
2026-05-28 12:25:15.460,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.92,,86000000
2026-05-28 12:25:15.640,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.97,,86000000
2026-05-28 12:25:15.999,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.82,,85000000
2026-05-28 12:25:16.261,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.1,,86000000
2026-05-28 12:25:16.639,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,3.32,,85000000
2026-05-28 12:25:16.729,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.1,,85000000
2026-05-28 12:25:16.859,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.99,,85000000
2026-05-28 12:25:17.090,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.2,,86000000
2026-05-28 12:25:17.162,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.18,,85000000
2026-05-28 12:25:17.184,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.73,,85000000
2026-05-28 12:25:17.410,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.76,,86000000
2026-05-28 12:25:17.482,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.91,,85000000
2026-05-28 12:25:17.694,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.92,,86000000
2026-05-28 12:25:18.051,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.16,,86000000
2026-05-28 12:25:18.273,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.11,,85000000
2026-05-28 12:25:18.576,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.98,,85000000
2026-05-28 12:25:18.691,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.87,,86000000
2026-05-28 12:25:18.821,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.95,,85000000
2026-05-28 12:25:18.862,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.8,,85000000
2026-05-28 12:25:19.210,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.11,,85000000
2026-05-28 12:25:19.401,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.03,,86000000
2026-05-28 12:25:19.432,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.01,,85000000
2026-05-28 12:25:19.489,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.72,,85000000
2026-05-28 12:25:19.848,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.95,,86000000
2026-05-28 12:25:20.237,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.33,,86000000
2026-05-28 12:25:20.606,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.78,,86000000
2026-05-28 12:25:20.790,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.83,,86000000
2026-05-28 12:25:20.799,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.31,,85000000
2026-05-28 12:25:20.889,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.7,,85000000
2026-05-28 12:25:20.898,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,34.74,,85000000
