Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/Prod/predict/lgbm,10044,0,140,160.45502065780755,126.95011200048611,5394.246212000326,45.0,9.843462842815937,0.0,140,140,140,150,240,340,360,380,480,2700,5400
POST,/Prod/predict/lgbm_arpa,10020,0,140,160.18608989999552,126.88305899973784,5293.882981000024,167.0,9.819942023597738,0.0,140,140,140,150,230,340,360,380,470,2400,5300
POST,/Prod/predict/xgb_arpa,9922,0,140,160.46700422525936,127.04815100005362,5183.137459000136,166.0,9.723898678456763,0.0,140,140,140,150,240,340,360,380,460,5200,5200
POST,/Prod/predict/xgb_baseline,9855,0,140,158.64869272897107,126.91950400039786,2167.044482000165,44.0,9.658236391472625,0.0,140,140,140,150,220,340,350,370,460,2200,2200
,Aggregated,39841,0,140,159.94355892301857,126.88305899973784,5394.246212000326,105.56943851810948,39.04553993634306,0.0,140,140,140,150,230,340,360,380,470,2700,5400
