@timestamp,@billedDuration,@duration,@initDuration,@memorySize
2026-05-30 17:33:54.038,3,2.42,,1024000000
2026-05-30 17:33:52.820,2,1.74,,1024000000
2026-05-30 17:33:52.133,2,1.76,,1024000000
2026-05-30 17:33:51.520,3,2.97,,1024000000
2026-05-30 17:33:50.819,2,1.96,,1024000000
2026-05-30 17:33:49.592,3,2.06,,1024000000
2026-05-30 17:33:49.408,3,2.03,,1024000000
2026-05-30 17:33:48.050,2,1.81,,1024000000
2026-05-30 17:33:46.895,3,2.19,,1024000000
2026-05-30 17:33:45.538,2,1.86,,1024000000
2026-05-30 17:33:43.628,3,2.12,,1024000000
2026-05-30 17:33:42.895,2,1.92,,1024000000
2026-05-30 17:33:42.562,3,2.05,,1024000000
2026-05-30 17:33:40.828,7,6.78,,1024000000
2026-05-30 17:33:40.194,3,2.05,,1024000000
2026-05-30 17:33:38.971,6,5.92,,1024000000
2026-05-30 17:33:38.421,3,2.04,,1024000000
2026-05-30 17:33:38.381,3,2.16,,1024000000
2026-05-30 17:33:37.052,2,1.73,,1024000000
2026-05-30 17:33:36.962,2,1.78,,1024000000
2026-05-30 17:33:36.806,2,1.92,,1024000000
2026-05-30 17:33:36.126,3,2.07,,1024000000
2026-05-30 17:33:35.516,2,1.58,,1024000000
2026-05-30 17:33:34.252,3,2.2,,1024000000
2026-05-30 17:33:34.102,3,2.97,,1024000000
2026-05-30 17:33:33.799,2,1.81,,1024000000
2026-05-30 17:33:33.319,3,2.33,,1024000000
2026-05-30 17:33:33.208,2,1.88,,1024000000
2026-05-30 17:33:32.845,2,1.73,,1024000000
2026-05-30 17:33:32.578,3,2.07,,1024000000
2026-05-30 17:33:32.561,8,7.42,,1024000000
2026-05-30 17:33:31.778,2,1.75,,1024000000
2026-05-30 17:33:31.131,2,1.73,,1024000000
2026-05-30 17:33:31.081,3,2.49,,1024000000
2026-05-30 17:33:30.467,2,1.78,,1024000000
2026-05-30 17:33:30.436,2,1.96,,1024000000
2026-05-30 17:33:29.650,3,2.27,,1024000000
2026-05-30 17:33:29.534,4,3.4,,1024000000
2026-05-30 17:33:29.460,2,2,,1024000000
2026-05-30 17:33:28.929,5,4.14,,1024000000
2026-05-30 17:33:28.551,3,2.19,,1024000000
2026-05-30 17:33:28.075,3,2.32,,1024000000
2026-05-30 17:33:28.070,2,1.76,,1024000000
2026-05-30 17:33:27.570,3,2.3,,1024000000
2026-05-30 17:33:27.541,2,1.99,,1024000000
2026-05-30 17:33:26.835,3,2.44,,1024000000
2026-05-30 17:33:26.606,2,1.84,,1024000000
2026-05-30 17:33:25.752,3,2.1,,1024000000
2026-05-30 17:33:25.580,4,3.33,,1024000000
2026-05-30 17:33:25.486,3,2.18,,1024000000
2026-05-30 17:33:24.613,3,2.41,,1024000000
2026-05-30 17:33:24.497,3,2.71,,1024000000
2026-05-30 17:33:24.059,3,2.17,,1024000000
2026-05-30 17:33:23.887,2,1.97,,1024000000
2026-05-30 17:33:23.257,3,2.03,,1024000000
