Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/Prod/predict/lgbm,19653,0,140,166.3365561101551,127.53158199848258,5207.237402000828,45.0,19.26223317551312,0.0,140,150,160,160,230,360,370,380,570,1700,5200
POST,/Prod/predict/xgb_arpa,9941,0,140,167.0522892785478,128.57280100070057,1651.6626039992843,166.0,9.74333994798636,0.0,140,150,160,160,230,360,370,380,590,1700,1700
POST,/Prod/predict/xgb_baseline,10048,0,140,166.58145606697516,127.97932000103174,1622.2298510001565,44.0,9.848212433091938,0.0,140,150,160,160,230,360,370,380,520,1600,1600
,Aggregated,39642,0,140,166.57811451268398,127.53158199848258,5207.237402000828,75.08962716310984,38.85378555659142,0.0,140,150,160,160,230,360,370,380,570,1600,5200
