Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/Prod/predict/lgbm,9843,0,140,161.4079425933119,126.21770499936247,2755.334094999853,45.0,9.642060897694064,0.0,140,140,140,150,330,340,360,370,470,2800,2800
POST,/Prod/predict/lgbm_arpa,10110,0,140,162.58439435420905,126.77760299993679,2549.623220000285,167.0,9.903610248469672,0.0,140,140,140,140,330,340,360,370,460,2200,2500
POST,/Prod/predict/xgb_arpa,9939,0,140,161.31777713049985,126.49133399918355,2536.4644750006846,166.0,9.73610111370327,0.0,140,140,140,140,330,340,360,370,460,2500,2500
POST,/Prod/predict/xgb_baseline,9875,0,140,162.67671420385474,126.78004300050816,5212.873626999681,44.0,9.673407636363798,0.0,140,140,140,140,330,340,360,380,480,5200,5200
,Aggregated,39767,0,140,161.99956108155294,126.21770499936247,5212.873626999681,106.00948022229487,38.9551798962308,0.0,140,140,140,140,330,340,360,370,470,2800,5200
