Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/Prod/predict/lgbm,19634,0,140,170.42443767515184,127.77654099954816,5199.84314300018,45.0,19.234103072692548,0.0,140,150,160,160,240,360,380,460,530,5200,5200
POST,/Prod/predict/xgb_arpa,10002,0,150,172.90342770737053,127.85037899993767,5423.5264110011485,166.0,9.798283535350457,0.0,150,150,160,170,270,360,390,470,520,5200,5400
POST,/Prod/predict/xgb_baseline,9968,0,150,172.01254478943014,128.72934400002123,5422.039879000295,44.0,9.76497603283077,0.0,150,150,160,170,260,360,390,460,520,5400,5400
,Aggregated,39604,0,150,171.45022067730753,127.77654099954816,5423.5264110011485,75.3068881931118,38.79736264087378,0.0,150,150,160,160,250,360,390,460,530,5200,5400
